Peak Type	Time (s)	Amplitude (µV)
P	284.92	22
P	285.73	33
P	286.51	33
P	287.33	39
P	288.15	18
P	288.96	19
P	289.79	39
P	290.63	28
P	291.45	10
P	292.28	17
P	293.11	-13
P	293.95	-32
P	294.77	51
P	295.58	34
P	296.42	-21
P	297.23	6
P	298.05	34
P	298.85	21
P	299.67	5
P	300.47	-14
P	301.27	49
P	302.09	54
P	302.93	25
P	303.74	-14
P	304.55	22
P	305.35	50
P	306.18	13
P	306.95	27
P	307.74	29
P	308.52	10
P	309.35	21
P	310.12	59
P	310.93	20
P	311.71	-61
P	312.5	-6
P	313.27	54
P	314.08	76
P	314.88	41
P	315.7	-8
P	316.48	26
P	317.29	50
P	318.05	-4
P	318.83	23
P	319.59	47
P	320.36	20
P	321.13	-5
P	321.91	20
P	322.7	35
P	323.51	19
P	324.3	18
P	325.09	-10
P	325.91	28
P	326.72	17
P	327.51	36
P	328.27	27
P	329.07	28
P	329.87	3
P	330.63	34
P	331.38	62
P	332.16	27
P	332.96	3
P	333.71	34
P	334.52	22
P	335.35	23
P	336.15	-9
P	336.95	25
P	337.77	21
P	338.58	29
P	339.38	-19
P	340.15	27
P	340.94	9
P	341.73	-18
P	342.53	-26
P	343.33	133
P	344.16	-63
P	345.01	11
P	345.84	72
P	346.66	75
P	347.47	67
P	348.26	52
P	348.95	170
P	349.79	-36
P	350.57	26
